keyword,volume,cpc,competition,cluster,priority
sermon clips,2900,$1.50,0.35,core,medium
sermon video editing,1300,$2.10,0.45,core,high
church video clips,880,$1.45,0.40,core,medium
sermon highlights,720,$1.35,0.32,core,high
sermon repurposing,590,$1.80,0.30,core,high
sermon social media,590,$1.65,0.38,core,medium
sermon clipping,320,$1.20,0.25,core,medium
church video editor,720,$2.50,0.58,tools,low
sermon clip maker,480,$2.30,0.55,tools,medium
sermon editing software,390,$2.80,0.60,tools,low
sermon clip generator,260,$2.15,0.49,tools,medium
sermon transcription tool,210,$2.20,0.52,tools,medium
ai sermon clips,170,$2.10,0.48,tools,medium
automated sermon clips,140,$2.40,0.50,tools,low
church content creation,1000,$2.00,0.46,use_cases,medium
church social media content,880,$1.90,0.42,use_cases,medium
sermon clips for instagram,480,$1.70,0.36,use_cases,medium
sermon clips for tiktok,390,$1.60,0.35,use_cases,medium
how to clip sermons,320,$1.40,0.28,use_cases,medium
sermon clips for youtube shorts,290,$1.55,0.34,use_cases,medium
repurpose sermons for social media,170,$1.75,0.33,use_cases,medium
church social media strategy,1300,$2.10,0.48,pain_points,high
how to grow church social media,590,$1.85,0.38,pain_points,medium
volunteer media team church,110,$1.30,0.18,pain_points,low
church media team burnout,90,$1.20,0.15,pain_points,low
church video editing takes too long,50,$1.80,0.20,pain_points,low
church digital marketing,880,$2.40,0.52,church_marketing,medium
digital evangelism,720,$1.60,0.34,church_marketing,high
church online presence,590,$2.00,0.44,church_marketing,medium
church outreach online,480,$1.80,0.36,church_marketing,medium
church growth social media,390,$1.95,0.40,church_marketing,medium
how to reach more people church,260,$1.70,0.32,church_marketing,medium
church media service,320,$2.50,0.50,competitors,medium
church content agency,210,$2.80,0.55,competitors,medium
sermon video service,170,$2.20,0.45,competitors,medium
pro church tools alternative,70,$1.80,0.30,competitors,low
socialsermons alternative,30,$1.50,0.25,competitors,low
bible verse generator,2400,$0.50,0.55,free_tools,medium
sermon outline generator,480,$0.70,0.42,free_tools,medium
free sermon transcription,390,$0.80,0.45,free_tools,medium
church social media calendar,260,$1.20,0.38,free_tools,medium
sermon quote generator,210,$0.55,0.28,free_tools,medium
sermon illustration finder,170,$0.60,0.30,free_tools,medium
worship background generator,140,$0.50,0.35,free_tools,low
free sermon clipper,110,$0.60,0.35,free_tools,low
church announcement maker,110,$0.65,0.32,free_tools,low
bible study discussion questions generator,90,$0.45,0.25,free_tools,low
sermon timestamp generator,70,$0.40,0.25,free_tools,low
how to grow church with social media,320,$1.70,0.30,long_tail,medium
best sermon clips on tiktok,260,$1.30,0.22,long_tail,medium
how to create sermon clips for social media,140,$1.50,0.25,long_tail,low
how long should sermon clips be,90,$1.20,0.18,long_tail,low
what makes a good sermon clip,70,$1.10,0.15,long_tail,low
